,side,teamname,team kpm,dragons,barons,towers,dpm,vspm,earned gpm,wcpm,cspm,xpat15,goldat15,result
1231,Red,Solary,0.5823,4.0,1.0,7.0,2229.0943,8.1516,1136.0074,1.3309,29.3346,30541.0,25690.0,1
1232,Blue,UCAM Esports,0.3959,2.0,1.0,11.0,1964.5601,6.5543,1361.5249,1.1437,34.2229,31063.0,28279.0,1
1233,Red,ZETA,0.2639,1.0,0.0,2.0,1809.8094,7.1701,1017.9326,1.1437,31.1877,26749.0,22643.0,0
1234,Blue,Lundqvist Lightside,0.2827,2.0,1.0,4.0,1898.9843,7.9162,1033.4136,1.2565,32.1675,29947.0,24645.0,0
1235,Red,Verdant,0.4712,3.0,1.0,8.0,2466.1571,7.8848,1254.8796,1.9476,33.1414,31494.0,25389.0,1
1236,Blue,Papara SuperMassive,0.4171,1.0,1.0,6.0,2082.7062,8.0908,1245.8202,1.279,32.9472,30334.0,25373.0,0
1237,Red,BeÅŸiktaÅŸ Esports,0.6117,4.0,1.0,7.0,3102.9564,8.1186,1278.6006,1.2234,30.8063,29692.0,24519.0,1
1238,Blue,Eintracht Frankfurt,0.4389,2.0,1.0,1.0,2926.0214,7.8672,1112.8869,1.3844,31.2662,30030.0,24930.0,0
1239,Red,E WIE EINFACH E-SPORTS,0.6078,2.0,1.0,9.0,2280.9792,6.6517,1282.6562,0.8441,31.2324,29665.0,24005.0,1
1240,Blue,Guasones,0.4296,4.0,1.0,5.0,2145.2029,9.8091,1120.0716,2.4344,31.957,29370.0,24127.0,0
1241,Red,Rebels Gaming,0.4296,2.0,1.0,8.0,2501.5036,8.8067,1118.1384,1.3126,29.4749,28685.0,23889.0,1
1242,Blue,A One Man Army,0.3539,5.0,0.0,9.0,2718.0291,6.9327,1080.7495,1.3324,27.7516,28767.0,23810.0,0
1243,Red,SNOOZE Esports,0.5413,2.0,3.0,10.0,3011.5337,7.016,1264.1221,0.9993,29.2297,30551.0,24663.0,1
1244,Blue,EKO Academy,0.495,0.0,1.0,5.0,2506.0096,7.1646,1188.4325,1.1984,29.6483,28506.0,23271.0,0
1245,Red,DREN Esports,0.5992,6.0,1.0,11.0,2295.1107,7.5554,1309.8133,1.1463,29.492,29339.0,24495.0,1
1246,Blue,Ruddy Esports,0.6189,0.0,0.0,4.0,2659.4957,5.5702,1137.0086,0.7908,26.7851,28905.0,27416.0,0
1247,Red,Nativz,1.2378,3.0,1.0,10.0,3222.3266,7.702,1495.4613,0.7564,29.2951,29722.0,27978.0,1
1248,Blue,Cyber Wolves,0.1986,0.0,0.0,1.0,2169.7297,6.2879,857.904,1.2245,28.3287,29734.0,23457.0,0
1249,Red,Crvena zvezda Esports,1.059,4.0,2.0,10.0,2787.4352,6.4534,1467.9316,0.9597,29.9504,28930.0,23483.0,1
1250,Blue,Aegis,0.5475,3.0,0.0,8.0,2070.4348,8.6312,1235.5233,1.6425,34.2673,30524.0,25463.0,1
1251,Red,Team du Sud,0.2254,1.0,0.0,2.0,1662.1256,7.8583,945.314,1.3527,31.6264,30014.0,23189.0,0
1252,Blue,BoostGate Esports,0.6681,3.0,1.0,10.0,2634.21,8.0488,1362.0891,1.3043,32.9268,28615.0,24416.0,1
1253,Red,FUT Esports,0.3499,2.0,0.0,4.0,1900.8484,7.9215,1078.4411,1.1453,32.2269,28604.0,25085.0,0
1254,Blue,Eintracht Spandau,0.2167,2.0,1.0,9.0,1870.5217,7.5602,1192.1509,1.3483,31.565,30379.0,25311.0,1
1255,Red,Berlin International Gaming,0.4334,4.0,2.0,7.0,1682.5762,8.8122,1119.7994,1.3242,29.6388,30154.0,26011.0,0
1256,Blue,Case Esports,0.1999,2.0,0.0,6.0,2246.416,7.2822,1016.9443,1.1994,32.9272,30347.0,23720.0,0
1257,Red,Ramboot Club,0.4569,3.0,2.0,9.0,2071.6135,8.5102,1277.3917,1.5707,32.9557,31389.0,25322.0,1
1258,Blue,ENEMI3S,0.127,0.0,0.0,2.0,1554.2222,5.4603,912.8889,0.6667,31.1429,29269.0,24185.0,0
1259,Red,Macko Esports,0.5714,5.0,2.0,11.0,2416.7302,8.4127,1460.0,1.8095,34.0317,30628.0,26248.0,1
1260,Blue,DMG Esports,0.4563,1.0,0.0,3.0,2147.424,7.2148,1097.0247,1.1977,30.6559,30456.0,24398.0,0
1261,Red,NORD Esports,0.6844,4.0,2.0,11.0,2746.6825,8.6977,1334.7148,1.6255,30.5418,29713.0,24565.0,1
1262,Blue,Odivelas Sports Club,0.3771,4.0,1.0,7.0,1667.8286,7.8514,1151.52,1.4057,30.9257,28541.0,24267.0,1
1263,Red,White Dragons,0.24,0.0,0.0,2.0,1751.8629,6.5486,906.8229,1.0629,29.5543,29236.0,24591.0,0
1264,Blue,Team GO,0.1871,0.0,0.0,3.0,1572.7235,8.6071,914.6258,1.6216,30.9667,29086.0,23297.0,0
1265,Red,Karmine Corp Blue,0.3742,4.0,1.0,8.0,1615.9459,8.5447,1186.5281,2.027,34.1164,28553.0,22981.0,1
1266,Blue,ZennIT,0.3487,2.0,0.0,2.0,2261.141,6.2124,992.2345,1.141,30.3645,27565.0,22895.0,0
1267,Red,mCon esports,0.6656,2.0,2.0,11.0,3466.6878,6.9097,1348.7163,0.7607,30.9667,28783.0,24241.0,1
1268,Blue,Lupus Esports,0.3392,0.0,0.0,2.0,2294.5845,6.3086,1015.6925,0.8819,30.5596,27898.0,23798.0,0
1269,Red,Diamant Esports,1.0514,4.0,2.0,11.0,2787.134,7.3601,1486.2295,1.5602,31.645,30770.0,26270.0,1
1270,Blue,Galakticos,0.4483,2.0,0.0,2.0,1964.2759,7.6897,1033.2414,1.5517,31.4828,28968.0,23175.0,0
1271,Red,Misa Esports,0.4138,2.0,1.0,11.0,2084.4828,8.3448,1324.8966,1.5172,36.1034,30520.0,23637.0,1
1272,Blue,Movistar KOI,0.7071,4.0,1.0,9.0,2840.0825,7.2834,1372.858,1.1668,33.8008,31428.0,27080.0,1
1273,Red,GIANTX Pride,0.2829,0.0,0.0,1.0,2135.109,6.0813,889.1102,0.9546,28.3559,27542.0,21717.0,0
1274,Blue,Dsyre Esports,0.3182,1.0,2.0,8.0,2232.7785,9.3268,1170.7466,1.3709,31.481,28281.0,26038.0,0
1275,Red,aNc Outplayed,0.6365,5.0,1.0,9.0,2809.3268,6.8299,1327.0747,1.175,31.3097,28777.0,23791.0,1
1276,Blue,Lionscreed,0.3965,0.0,0.0,2.0,1798.3833,8.4189,1053.2486,1.4032,31.7844,30221.0,23711.0,0
1277,Red,Venomcrest Esports,0.6101,4.0,1.0,8.0,2154.3569,8.2054,1254.7839,1.5862,29.5272,30468.0,27139.0,1
1278,Blue,BWE Esports,0.271,0.0,0.0,0.0,2050.6381,5.5223,939.6047,1.0503,31.4399,30240.0,24078.0,0
1279,Red,SAW,0.6437,4.0,1.0,9.0,2571.9029,8.6053,1351.8125,1.1858,36.2846,31195.0,24540.0,1
1280,Blue,Unicorns of Love Sexy Edition,0.6079,4.0,1.0,9.0,3292.1233,8.2203,1261.7445,1.1894,30.978,30667.0,26389.0,1
1281,Red,MOUZ NXT,0.3436,2.0,2.0,5.0,2830.8634,6.4758,1091.7621,0.978,27.304,28617.0,24355.0,0
1282,Blue,Dynasty,0.4105,3.0,3.0,8.0,3147.8934,7.735,1174.9586,1.5772,28.7793,28206.0,23982.0,0
1283,Red,Once Upon A Team,0.5402,4.0,1.0,9.0,2797.7674,7.9078,1231.9121,1.2315,30.9183,29848.0,25196.0,1
1284,Blue,Vitality.Bee,0.4342,0.0,0.0,8.0,1801.2237,8.9605,1216.8553,1.9342,33.3158,29992.0,26610.0,1
1285,Red,Gentle Mates,0.1579,2.0,0.0,0.0,1240.4605,7.0263,851.4474,1.3026,32.25,28949.0,22748.0,0
1286,Blue,BeFive,0.8691,1.0,1.0,11.0,2865.6779,7.4044,1417.9606,1.321,31.5991,30007.0,25249.0,1
